key,value
window.avatar_list.title,"アバター一覧"
window.thumbnail_preview.title,"アバターサムネイルプレビュー"
dialog.title.info,"情報"
dialog.title.error,"エラー"
dialog.title.confirm,"確認"
dialog.button.ok,"OK"
dialog.button.cancel,"キャンセル"
dialog.button.yes,"はい"
dialog.button.no,"いいえ"
toolbar.menu,"メニュー"
menu.update_avatar_database,"アバターデータベースを更新"
menu.update_avatar_database_with_thumbnails,"アバターデータベースを更新(サムネイル画像も再生成)"
context.switch_active,"アクティブなアバターとして切替"
context.generate_thumbnail,"サムネイル画像を生成"
context.add_thumbnail_settings,"サムネイル設定コンポーネントを追加"
context.add_metadata,"メタデータコンポーネントを追加"
context.build_and_publish,"アバターをビルドしてアップロード"
label.no_search_results,"検索結果が見つかりません"
label.initial_setup.incomplete,"初回セットアップが完了していません"
button.initial_setup.run,"初回セットアップを実行"
button.thumbnail.reload_values,"値の再読み込み"
button.thumbnail.preview,"サムネイル画像をプレビュー"
button.booth.fetch,"商品情報を取得"
button.legacy_metadata.sync,"アバターメタデータをこのアバターオブジェクトへ紐付ける"
button.legacy_metadata.copy,"アバターメタデータファイルを複製する"
tooltip.initial_setup.run,"初回セットアップ処理を実行します"
helpbox.legacy_metadata.warning,"このアバターメタデータは別のアバターオブジェクトに設定されている可能性があります"
field.avatar_metadata.comment,"コメント"
field.avatar_metadata.tags,"タグ情報"
field.avatar_metadata.assets,"使用しているアセット情報"
field.thumbnail.camera_position_offset,"カメラ座標オフセット"
field.thumbnail.camera_rotation,"カメラ角度"
field.asset_product.url,"製品ページURL"
field.asset_product.name,"製品名"
field.asset_product.creator_name,"制作者名"
field.asset_product.description,"説明"
field.asset_product.release_datetime,"公開日時"
field.asset_product.licenses,"ライセンス"
field.asset_product.root_folder,"製品ルートフォルダ(任意)"
field.asset_product.root_folders,"製品ルートフォルダ一覧(任意)"
field.legacy_metadata.avatar_metadata,"アバターメタデータ"
field.license.name,"ライセンス名"
field.license.url,"ライセンスURL"
field.license.text,"ライセンス本文"
progress.build_publish.title,"アバターのビルド・アップロード"
progress.build_publish.preparing,"アバターを準備中..."
progress.build_publish.logging_in,"VRChat にログイン中..."
progress.build_publish.getting_builder,"SDK ビルダーを取得中..."
progress.build_publish.getting_avatar_info,"アバター情報を取得中..."
progress.build_publish.confirming_agreement,"ライセンス規約を確認中..."
progress.build_publish.starting_build,"ビルドを開始中..."
progress.build_publish.building,"ビルド中: {0}"
progress.build_publish.uploading,"アップロード中: {0}"
progress.build_avatar_database.title,"アバターデータベースを構築中"
progress.build_avatar_database.processing_scene,"シーンを処理中 ({0}/{1}): {2}"
progress.build_avatar_database.cleanup,"不要なファイルを整理中..."
progress.build_avatar_database.saving,"データベースを保存中..."
progress.build_avatar_database.refreshing_index,"検索インデックスを更新中..."
info.upload_cancelled,"アバターのアップロードをキャンセルしました。"
info.upload_completed,"アバターのビルドおよびアップロードが完了しました。"
info.play_mode_cannot_switch,"Play Mode 実行中はアバターの切り替えは行えません"
error.unexpected_build_upload,"アバターのビルドおよびアップロード中に予期しないエラーが発生しました。\n\n{0}"
error.build_upload_failed,"アバターのビルドおよびアップロード中にエラーが発生しました。\n\n{0}"
error.cannot_get_sdk_builder,"VRChat SDK のアバタービルダーを取得できませんでした。VRChat SDK が正しくインストールされているか確認してください。"
error.pipeline_manager_missing,"アバター '{0}' に Pipeline Manager コンポーネントが見つかりませんでした。"
error.blueprint_id_missing,"アバター '{0}' の Blueprint ID が設定されていません。VRChat SDK のコントロールパネルからアバター情報を設定してください。"
error.not_logged_in,"VRChat アカウントでログインしてください。"
error.login_failed,"VRChat へのログイン中にエラーが発生しました。\n\n{0}"
error.session_expired,"VRChat のログインセッションが切れています。\nVRChat SDK のコントロールパネルから再度ログインしてください。"
error.avatar_not_uploaded,"アバター '{0}' はまだ VRChat にアップロードされていません。先に VRChat SDK のコントロールパネルから初回アップロードを行ってください。"
error.get_avatar_info_failed,"アバター情報の取得に失敗しました。\nHTTPステータス: {0} ({1})\n\n{2}"
error.network_failure,"VRChat サーバーとの通信に失敗しました。接続を確認して再度お試しください。\n\n{0}"
error.agreement_processing_failed,"ライセンス規約への同意処理でエラーが発生しました。\n\n{0}"
error.agreement_required,"ライセンス規約への同意が必要です。\n\n{0}"
error.build_blocked,"他の処理によりビルドが中断されました。\n\n{0}"
error.validation_failed,"アバターのバリデーションに失敗しました。VRChat SDK のコントロールパネルでエラー内容を確認してください。\n\n{0}"
error.not_owner,"このアバターの所有者ではないため、アップロードできません。"
error.bundle_already_exists,"このアバターは既に同じ内容がアップロードされています。\n\n{0}"
error.upload_failed,"アバターのアップロードに失敗しました。\n\n{0}"
error.build_failed,"アバターのビルドに失敗しました。\n\n{0}"
error.avatar_not_found,"アバター '{0}' が見つかりませんでした。"
error.scene_cannot_open,"アバター '{0}' が存在するシーンを開けませんでした。"
error.url_empty,"URLを入力してください"
error.url_invalid,"入力されたURLが正しくありません"
